lon	lat	e_mm_day	n_mm_day	u_mm_day	hor_mm_day
  -1.0729097e+02   3.7986964e+01   2.9914024e-02  -1.5410626e-01  -5.6418733e-01   1.5698276e-01
  -1.0729098e+02   3.7987415e+01  -1.2727671e-01   2.9757070e-02  -4.9555057e-02   1.3070901e-01
  -1.0729100e+02   3.7987865e+01  -9.3828914e-02  -1.6767757e-02  -1.5597511e-01   9.5315386e-02
  -1.0729026e+02   3.7982470e+01  -6.7927658e-02  -5.6252583e-02  -5.3780903e-01   8.8195917e-02
  -1.0729027e+02   3.7982921e+01   5.8525953e-02  -5.0358481e-02  -7.6675504e-01   7.7209221e-02
  -1.0729029e+02   3.7983371e+01   7.5166527e-02  -6.5595064e-02  -7.5027253e-01   9.9763316e-02
  -1.0729030e+02   3.7983822e+01   3.7583251e-02  -5.5678589e-02  -6.9164766e-01   6.7175933e-02
  -1.0729032e+02   3.7984272e+01  -1.2125318e-01   8.2300579e-02  -8.1114516e-02   1.4654596e-01
  -1.0729033e+02   3.7984723e+01  -2.2948201e-01   7.4491144e-02   4.5371018e-01   2.4126940e-01
  -1.0729034e+02   3.7985173e+01  -1.0231832e-01   7.7355892e-02   1.6435874e-01   1.2826914e-01
  -1.0729036e+02   3.7985624e+01  -1.3065943e-01   3.0209644e-02  -3.2465968e-02   1.3410633e-01
  -1.0729037e+02   3.7986074e+01  -1.1417735e-01   5.0445140e-02  -2.1166122e-02   1.2482459e-01
  -1.0729039e+02   3.7986525e+01   4.3915980e-02  -9.0445866e-02  -6.8660274e-01   1.0054386e-01
  -1.0729040e+02   3.7986975e+01  -2.4135843e-01   9.6354717e-02   4.5817147e-01   2.5988097e-01
  -1.0729041e+02   3.7987426e+01  -2.3904722e-01  -7.2651290e-03   1.8328110e-01   2.3915759e-01
  -1.0729043e+02   3.7987876e+01  -1.1627852e-01   5.4575179e-03  -5.6937534e-02   1.1640652e-01
  -1.0729044e+02   3.7988327e+01  -1.2007871e-01   3.5970833e-02  -9.3248972e-02   1.2535070e-01
  -1.0729055e+02   3.7991931e+01   2.4179542e-01  -2.5471918e-01  -8.4742554e-01   3.5120775e-01
  -1.0729058e+02   3.7992832e+01   2.3624859e-01  -2.5359933e-01  -7.6031116e-01   3.4659200e-01
  -1.0728969e+02   3.7982481e+01   8.4039826e-02  -1.2057661e-01  -5.0089376e-01   1.4697419e-01
  -1.0728970e+02   3.7982932e+01   4.8517453e-02  -1.3824834e-01  -5.3084421e-01   1.4651466e-01
  -1.0728972e+02   3.7983382e+01   1.9097530e-02  -2.8527166e-02  -7.0349667e-01   3.4329504e-02
  -1.0728973e+02   3.7983833e+01   6.7140155e-03  -1.5593283e-01  -5.8583532e-01   1.5607731e-01
  -1.0728974e+02   3.7984283e+01  -1.6076405e-01   7.0875682e-02  -4.2519097e-02   1.7569417e-01
  -1.0728976e+02   3.7984734e+01   2.6035456e-02  -1.3675504e-01  -4.6898203e-01   1.3921130e-01
  -1.0728977e+02   3.7985184e+01  -2.0108587e-01   9.9623073e-02   4.7183524e-01   2.2441097e-01
  -1.0728979e+02   3.7985635e+01  -1.7922248e-01   4.8145963e-02  -3.7765844e-02   1.8557675e-01
  -1.0728980e+02   3.7986085e+01  -1.1997617e-01   3.3671416e-02  -7.6957406e-04   1.2461158e-01
  -1.0728981e+02   3.7986536e+01  -1.3221945e-01   2.9408002e-02  -6.6793190e-02   1.3545041e-01
  -1.0728983e+02   3.7986986e+01  -2.1376369e-01   9.1617102e-02   3.7072253e-01   2.3256958e-01
  -1.0728984e+02   3.7987437e+01  -2.7135964e-01   5.2841078e-02   4.6285426e-01   2.7645657e-01
  -1.0728986e+02   3.7987888e+01  -2.8534983e-01   2.9511684e-02   3.6030300e-01   2.8687187e-01
  -1.0728987e+02   3.7988338e+01  -1.7366515e-01   7.3654352e-02   2.2145857e-03   1.8863867e-01
  -1.0728988e+02   3.7988789e+01  -1.3517211e-01  -4.2358658e-03  -9.2841697e-02   1.3523846e-01
  -1.0728990e+02   3.7989239e+01   1.0492862e-02  -1.4119881e-01  -5.8074074e-01   1.4158815e-01
  -1.0728997e+02   3.7991492e+01   2.5653174e-01  -3.0134835e-01  -5.8381744e-01   3.9575164e-01
  -1.0728998e+02   3.7991942e+01   2.0534442e-01  -2.0570437e-01  -7.5411371e-01   2.9065550e-01
  -1.0728910e+02   3.7982042e+01   1.3916201e-01  -4.8100120e-02  -8.7531813e-01   1.4724024e-01
  -1.0728912e+02   3.7982492e+01   6.8734896e-02  -6.7348061e-02  -6.3075283e-01   9.6230179e-02
  -1.0728913e+02   3.7982943e+01   4.4889825e-02  -8.4154136e-02  -7.8823973e-01   9.5378273e-02
  -1.0728914e+02   3.7983393e+01   6.0163002e-02  -6.8575247e-02  -7.4640170e-01   9.1225826e-02
  -1.0728917e+02   3.7984294e+01  -1.4737649e-01   8.4256040e-02  -4.8891559e-02   1.6976133e-01
  -1.0728919e+02   3.7984745e+01   8.3261476e-02  -8.5500517e-02  -6.5364168e-01   1.1934325e-01
  -1.0728920e+02   3.7985195e+01  -2.4754183e-01   1.1769074e-02   4.1025041e-01   2.4782145e-01
  -1.0728921e+02   3.7985646e+01  -2.4613620e-01   3.4801189e-03   3.9687113e-02   2.4616080e-01
  -1.0728923e+02   3.7986097e+01  -2.2709692e-01   4.0574374e-03   2.1606418e-01   2.2713317e-01
  -1.0728924e+02   3.7986547e+01  -1.2619077e-01   4.3347749e-02  -5.6044387e-02   1.3342840e-01
  -1.0728926e+02   3.7986998e+01   3.3570160e-02  -1.1216684e-01  -6.2853243e-01   1.1708269e-01
  -1.0728927e+02   3.7987448e+01   4.2804823e-02  -1.0831666e-01  -7.5518013e-01   1.1646782e-01
  -1.0728928e+02   3.7987899e+01  -9.2559394e-02   3.7421182e-02  -7.8012649e-02   9.9837799e-02
  -1.0728930e+02   3.7988349e+01  -2.2006127e-01   5.5493753e-02   3.8282072e-01   2.2695048e-01
  -1.0728931e+02   3.7988800e+01  -2.7730663e-01  -6.2490896e-03   3.1790372e-01   2.7737704e-01
  -1.0728933e+02   3.7989250e+01  -1.5489300e-01   1.6556456e-03  -1.8267814e-01   1.5490184e-01
  -1.0728934e+02   3.7989701e+01  -1.6144392e-01   2.0703389e-02   1.5545531e-03   1.6276600e-01
  -1.0728940e+02   3.7991503e+01   1.9007756e-01  -1.6982406e-01  -7.1655280e-01   2.5489153e-01
  -1.0728941e+02   3.7991954e+01   1.8663078e-01  -2.0785307e-01  -7.7001245e-01   2.7934557e-01
  -1.0728949e+02   3.7994657e+01   2.0040319e-01  -2.6359315e-01  -5.7009621e-01   3.3112352e-01
  -1.0728852e+02   3.7981602e+01   5.5571299e-02  -8.2119168e-02  -7.9034532e-01   9.9155066e-02
  -1.0728853e+02   3.7982053e+01   5.8719544e-02  -6.5569165e-02  -6.4500946e-01   8.8018750e-02
  -1.0728854e+02   3.7982503e+01  -1.2453962e-01   7.4133149e-02   4.0142035e-02   1.4493391e-01
  -1.0728856e+02   3.7982954e+01   3.2277443e-02  -1.3422145e-01  -5.1650174e-01   1.3804793e-01
  -1.0728857e+02   3.7983404e+01   5.2885663e-02   3.8137303e-03  -3.6494617e-01   5.3022994e-02
  -1.0728859e+02   3.7983855e+01  -1.1955327e-01   6.0547026e-02  -7.9450066e-02   1.3401092e-01
  -1.0728860e+02   3.7984306e+01  -1.3999534e-01   5.2653426e-02  -1.2886132e-01   1.4956964e-01
  -1.0728861e+02   3.7984756e+01  -8.1820071e-02   4.8153745e-02  -7.2006715e-02   9.4938439e-02
  -1.0728863e+02   3.7985207e+01  -2.4940893e-01   1.6091530e-02   2.0840713e-01   2.4992749e-01
  -1.0728864e+02   3.7985657e+01  -2.4004171e-01   8.7074033e-03   1.7042793e-01   2.4019958e-01
  -1.0728866e+02   3.7986108e+01  -2.2991057e-01  -1.0002838e-02   2.8580164e-01   2.3012807e-01
  -1.0728867e+02   3.7986558e+01  -1.3849959e-01   3.1198365e-02  -8.1582915e-02   1.4196997e-01
  -1.0728868e+02   3.7987009e+01  -1.5543787e-01   1.4845017e-02   3.3320532e-02   1.5614515e-01
  -1.0728870e+02   3.7987459e+01   5.3069972e-03  -1.7412762e-01  -4.6112942e-01   1.7420848e-01
  -1.0728871e+02   3.7987910e+01   3.8866168e-02  -1.1567371e-01  -6.4299321e-01   1.2202863e-01
  -1.0728873e+02   3.7988360e+01  -1.4663089e-01  -2.6975068e-02  -7.6237343e-02   1.4909149e-01
  -1.0728874e+02   3.7988811e+01  -2.6281830e-01   2.8550341e-02   2.0952657e-01   2.6436449e-01
  -1.0728875e+02   3.7989261e+01  -2.6575307e-01   1.8218372e-03   1.7987797e-01   2.6575932e-01
  -1.0728877e+02   3.7989712e+01  -2.3701032e-01   1.4394809e-03   2.8498322e-01   2.3701470e-01
  -1.0728878e+02   3.7990163e+01  -1.4086668e-01   3.7457526e-02   1.0138684e-01   1.4576175e-01
  -1.0728881e+02   3.7991064e+01   1.7797613e-01  -2.5507618e-01  -4.6286373e-01   3.1102952e-01
  -1.0728882e+02   3.7991514e+01   1.7769164e-01  -2.1456857e-01  -5.8007860e-01   2.7859287e-01
  -1.0728884e+02   3.7991965e+01   2.1571726e-01  -2.8595186e-01  -8.4821049e-01   3.5819325e-01
  -1.0728885e+02   3.7992415e+01   1.2803005e-01  -1.7215476e-01  -7.1384430e-01   2.1454360e-01
  -1.0728786e+02   3.7978910e+01   2.1361087e-01  -3.8255733e-01   2.2382177e+00   4.3815490e-01
  -1.0728788e+02   3.7979361e+01  -7.9210834e-01  -1.3083542e+00  -1.6889623e-01   1.5294529e+00
  -1.0728789e+02   3.7979811e+01   3.5294833e-01   4.2565392e-01   2.5613649e+00   5.5295007e-01
  -1.0728790e+02   3.7980262e+01  -3.1808303e-01   2.4902530e-01   2.2034189e-01   4.0396834e-01
  -1.0728792e+02   3.7980712e+01   2.7311066e-01  -2.4545728e-01  -7.1763831e-01   3.6720391e-01
  -1.0728793e+02   3.7981163e+01  -1.3333251e-01  -8.0511416e-03  -8.0910424e-01   1.3357537e-01
