x2long,u1_surf
13587.1743486974,0.435924473968148
13667.3346693387,0.433708952644869
13747.49498998,0.43151412251718
13827.6553106212,0.429339723070344
13907.8156312625,0.427185497500464
13987.9759519038,0.425051192668832
14068.1362725451,0.422936559056068
14148.2965931864,0.420841350716115
14228.4569138277,0.418765325230142
14308.6172344689,0.416708243660421
14388.7775551102,0.414669870504212
14468.9378757515,0.412649973647718
14549.0981963928,0.410648324320145
14629.2585170341,0.408664697047908
14709.4188376754,0.406698869609024
14789.5791583166,0.404750622987714
14869.7394789579,0.402819741329262
14949.8997995992,0.400906011895145
15030.0601202405,0.399009225018462
15110.2204408818,0.3971291740597
15190.380761523,0.395265655362834
15270.5410821643,0.393418468211798
15350.7014028056,0.39158741478735
15430.8617234469,0.38977230012432
15511.0220440882,0.387972932069286
15591.1823647295,0.386189121238674
15671.3426853707,0.384420680977294
15751.503006012,0.382667427317328
15831.6633266533,0.380929178937774
15911.8236472946,0.379205757124354
15991.9839679359,0.377496985729901
16072.1442885772,0.375802691135213
16152.3046092184,0.3741227022104
16232.4649298597,0.372456850276708
16312.625250501,0.370804969068837
16392.7855711423,0.369166894697753
16472.9458917836,0.367542465613983
16553.1062124248,0.365931522571418
16633.2665330661,0.364333908591597
16713.4268537074,0.362749468928494
16793.5871743487,0.361178051033792
16873.74749499,0.359619504522657
16953.9078156313,0.35807368113999
17034.0681362725,0.356540434727185
17114.2284569138,0.355019621189354
17194.3887775551,0.353511098463049
17274.5490981964,0.352014726484457
17354.7094188377,0.350530367158078
17434.869739479,0.349057884325869
17515.0300601202,0.347597143736862
17595.1903807615,0.346148013017248
17675.3507014028,0.344710361640918
17755.5110220441,0.343284060900466
17835.6713426854,0.341868983878639
17915.8316633267,0.340465005420239
17995.9919839679,0.339072002104464
18076.1523046092,0.33768985221769
18156.3126252505,0.336318435726681
18236.4729458918,0.334957634252233
18316.6332665331,0.333607331043232
18396.7935871743,0.332267410951136
18476.9539078156,0.33093776040487
18557.1142284569,0.329618267386117
18637.2745490982,0.32830882140502
18717.4348697395,0.327009313476277
18797.5951903808,0.325719636095623
18877.755511022,0.324439683216702
18957.9158316633,0.323169350228313
19038.0761523046,0.321908533932033
19118.2364729459,0.320657132520209
19198.3967935872,0.319415045554307
19278.5571142285,0.318182173943632
19358.7174348697,0.31695841992438
19438.877755511,0.315743687039061
19519.0380761523,0.314537880116241
19599.1983967936,0.313340905250634
19679.3587174349,0.312152669783523
19759.5190380761,0.310973082283506
19839.6793587174,0.309802052527556
19919.8396793587,0.308639491482412
20000,0.307485311286264
