Slip_Sense	Strand	Pt_Identif	Scarp_Face_Dir	Local_Width_m	H_Offset_cm	H_Uncert_cm	V_Separ_cm	V_Uncert_cm	Northing	Easting	Distance_m	Compiler_Notes
3	1	298	NaN	NaN	NaN	NaN	100	NaN	3953348.5	448163	24966.02902	Olson_Lone_Butte pm 31
3	1	292	2	NaN	NaN	NaN	108	NaN	3953600.25	448081.75	24721.22935	Olson_Lone_Butte pm 26
3	1	295	NaN	NaN	NaN	NaN	113	NaN	3953521	448092.875	24788.95301	Olson_Lone_Butte pm 28
3	1	231	2	NaN	NaN	NaN	114	NaN	3961323.5	444413.125	16450.65817	"Olson_Burro_Canyon, V converted from meas reported in feet"
3	1	99	2	NaN	NaN	NaN	140	25	3962469.5	444248.5625	15468.22024	Arc C1; MD013 and Haddon_EKH_0711 -pm 55. 
3	1	182	2	NaN	NaN	NaN	182.5	42.5	3962648.25	444240.9375	15326.53399	Broader of two meas: 150-200 cm (Arc C1; MD014) and 140-225 cm (EKH_0712).
1	1	138	2	60	NaN	NaN	374	20	3958956.75	445533.9688	18982.97355	"July8_revised_jtj, C. DuRoss pt. A10R3"
3	2	399	2	NaN	NaN	NaN	NaN	4	3968593.75	435277.6563	5004.932115	Arc C3b; T. Dawson
3	2	400	2	NaN	NaN	NaN	NaN	5	3968559.75	435273.1563	5028.028048	Arc C3b; T. Dawson
1	1	124	NaN	25	NaN	NaN	NaN	NaN	3960388	444820.5938	17428.61043	EKH_0712 (E. Haddon)
1	1	125	NaN	14	NaN	NaN	NaN	NaN	3960354.25	444837.1875	17465.23043	Arc C1
1	1	126	NaN	5	NaN	NaN	NaN	NaN	3960341.75	444842.9688	17478.55664	EKH_0712
1	1	127	NaN	33	NaN	NaN	NaN	NaN	3960253	444910.625	17590.02836	Arc C1
1	1	128	NaN	14	NaN	NaN	NaN	NaN	3960119.25	444973.5938	17732.84411	Width from July9_jtj - combined (midpoint) from two points 
1	1	130	1	12	NaN	NaN	NaN	NaN	3959922.5	445069.75	17945.21293	July9_jtj
1	1	131	1	30	NaN	NaN	NaN	NaN	3959802.75	445130.9688	18076.33786	Haddon_EKH_0711
1	1	132	1	30	NaN	NaN	NaN	NaN	3959723.75	445175.125	18165.15927	July9_jtj
1	1	133	NaN	10	NaN	NaN	NaN	NaN	3959691	445201.875	18207.47878	Philibosian_ChinaLakeEQs_Waypoints_BP
1	1	134	2	20	NaN	NaN	NaN	NaN	3959603.5	445242.125	18300.25658	July9_jtj
1	1	139	NaN	245	NaN	NaN	NaN	NaN	3958308	445583.1875	19510.86933	Olson_Burro_Canyon GPS
1	1	248	NaN	140	NaN	NaN	NaN	NaN	3951280.75	449643.0625	27500.9139	Width estimated using Arc C2; C. DuRoss and E. Spangler GPS wpts
