#patchMidLon patchMidLat patchMidDepth patchLength patchWidth rake strike dip slip(cm)
98.698438 -2.168477 3.327500 10886.508 7015.710 98.000000 322.406483 7.000000 0.000000
100.182556 -4.001877 4.182500 10886.508 7015.710 98.000000 322.406483 7.000000 0.000000
100.122666 -3.923944 4.182500 10886.508 7015.710 98.000000 322.406483 7.000000 21.591162
100.062789 -3.846004 4.182500 10886.508 7015.710 98.000000 322.406483 7.000000 98.586458
100.002924 -3.768058 4.182500 10886.508 7015.710 98.000000 322.406483 7.000000 259.382812
99.943072 -3.690104 4.182500 10886.508 7015.710 98.000000 322.406483 7.000000 478.243627
99.883231 -3.612145 4.182500 10886.508 7015.710 98.000000 322.406483 7.000000 643.668979
99.823401 -3.534179 4.182500 10886.508 7015.710 98.000000 322.406483 7.000000 740.864171
99.763583 -3.456208 4.182500 10886.508 7015.710 98.000000 322.406483 7.000000 789.028652
99.703776 -3.378232 4.182500 10886.508 7015.710 98.000000 322.406483 7.000000 806.667978
99.643979 -3.300250 4.182500 10886.508 7015.710 98.000000 322.406483 7.000000 798.007186
99.584192 -3.222263 4.182500 10886.508 7015.710 98.000000 322.406483 7.000000 751.604232
99.524415 -3.144272 4.182500 10886.508 7015.710 98.000000 322.406483 7.000000 646.097822
99.464647 -3.066276 4.182500 10886.508 7015.710 98.000000 322.406483 7.000000 465.369077
99.404888 -2.988276 4.182500 10886.508 7015.710 98.000000 322.406483 7.000000 232.189394
99.345138 -2.910272 4.182500 10886.508 7015.710 98.000000 322.406483 7.000000 68.857536
99.285397 -2.832264 4.182500 10886.508 7015.710 98.000000 322.406483 7.000000 4.210088
99.225664 -2.754254 4.182500 10886.508 7015.710 98.000000 322.406483 7.000000 0.000000
99.165938 -2.676239 4.182500 10886.508 7015.710 98.000000 322.406483 7.000000 0.000000
99.106220 -2.598223 4.182500 10886.508 7015.710 98.000000 322.406483 7.000000 0.000000
99.046509 -2.520203 4.182500 10886.508 7015.710 98.000000 322.406483 7.000000 0.000000
98.986805 -2.442181 4.182500 10886.508 7015.710 98.000000 322.406483 7.000000 0.000000
98.927107 -2.364157 4.182500 10886.508 7015.710 98.000000 322.406483 7.000000 0.000000
98.867416 -2.286131 4.182500 10886.508 7015.710 98.000000 322.406483 7.000000 0.000000
98.807730 -2.208104 4.182500 10886.508 7015.710 98.000000 322.406483 7.000000 0.000000
98.748050 -2.130075 4.182500 10886.508 7015.710 98.000000 322.406483 7.000000 0.000000
100.232194 -3.963405 5.037500 10886.508 7015.710 98.000000 322.406483 7.000000 0.000000
100.172303 -3.885476 5.037500 10886.508 7015.710 98.000000 322.406483 7.000000 0.000000
100.112425 -3.807540 5.037500 10886.508 7015.710 98.000000 322.406483 7.000000 38.559467
100.052559 -3.729597 5.037500 10886.508 7015.710 98.000000 322.406483 7.000000 157.233597
99.992706 -3.651648 5.037500 10886.508 7015.710 98.000000 322.406483 7.000000 343.910572
99.932864 -3.573692 5.037500 10886.508 7015.710 98.000000 322.406483 7.000000 485.424404
99.873033 -3.495730 5.037500 10886.508 7015.710 98.000000 322.406483 7.000000 568.129727
99.813214 -3.417762 5.037500 10886.508 7015.710 98.000000 322.406483 7.000000 611.003313
99.753405 -3.339789 5.037500 10886.508 7015.710 98.000000 322.406483 7.000000 630.393017
99.693607 -3.261810 5.037500 10886.508 7015.710 98.000000 322.406483 7.000000 627.969039
99.633819 -3.183826 5.037500 10886.508 7015.710 98.000000 322.406483 7.000000 591.494742
99.574041 -3.105838 5.037500 10886.508 7015.710 98.000000 322.406483 7.000000 501.168911
99.514272 -3.027845 5.037500 10886.508 7015.710 98.000000 322.406483 7.000000 343.280624
99.454512 -2.949848 5.037500 10886.508 7015.710 98.000000 322.406483 7.000000 142.388525
99.394761 -2.871847 5.037500 10886.508 7015.710 98.000000 322.406483 7.000000 23.598224
99.335018 -2.793842 5.037500 10886.508 7015.710 98.000000 322.406483 7.000000 0.000000
99.275284 -2.715833 5.037500 10886.508 7015.710 98.000000 322.406483 7.000000 0.000000
99.215557 -2.637822 5.037500 10886.508 7015.710 98.000000 322.406483 7.000000 0.000000
99.155837 -2.559807 5.037500 10886.508 7015.710 98.000000 322.406483 7.000000 0.000000
99.096125 -2.481790 5.037500 10886.508 7015.710 98.000000 322.406483 7.000000 0.000000
99.036420 -2.403770 5.037500 10886.508 7015.710 98.000000 322.406483 7.000000 0.000000
98.976721 -2.325748 5.037500 10886.508 7015.710 98.000000 322.406483 7.000000 0.000000
98.917028 -2.247724 5.037500 10886.508 7015.710 98.000000 322.406483 7.000000 0.000000
98.857341 -2.169698 5.037500 10886.508 7015.710 98.000000 322.406483 7.000000 0.000000
98.797659 -2.091671 5.037500 10886.508 7015.710 98.000000 322.406483 7.000000 0.000000
100.281828 -3.924931 5.892500 10886.508 7015.710 98.000000 322.406483 7.000000 0.000000
100.221936 -3.847006 5.892500 10886.508 7015.710 98.000000 322.406483 7.000000 0.000000
100.162057 -3.769074 5.892500 10886.508 7015.710 98.000000 322.406483 7.000000 5.167841
100.102190 -3.691135 5.892500 10886.508 7015.710 98.000000 322.406483 7.000000 73.257464
100.042336 -3.613189 5.892500 10886.508 7015.710 98.000000 322.406483 7.000000 214.299670
99.982493 -3.535237 5.892500 10886.508 7015.710 98.000000 322.406483 7.000000 321.283000
99.922661 -3.457278 5.892500 10886.508 7015.710 98.000000 322.406483 7.000000 383.928585
99.862841 -3.379314 5.892500 10886.508 7015.710 98.000000 322.406483 7.000000 420.120510
99.803031 -3.301344 5.892500 10886.508 7015.710 98.000000 322.406483 7.000000 442.139722
99.743232 -3.223368 5.892500 10886.508 7015.710 98.000000 322.406483 7.000000 447.601289
99.683443 -3.145388 5.892500 10886.508 7015.710 98.000000 322.406483 7.000000 423.758942
99.623663 -3.067402 5.892500 10886.508 7015.710 98.000000 322.406483 7.000000 354.293891
99.563893 -2.989412 5.892500 10886.508 7015.710 98.000000 322.406483 7.000000 229.103338
99.504132 -2.911418 5.892500 10886.508 7015.710 98.000000 322.406483 7.000000 71.605467
99.444380 -2.833419 5.892500 10886.508 7015.710 98.000000 322.406483 7.000000 0.000000
99.384636 -2.755417 5.892500 10886.508 7015.710 98.000000 322.406483 7.000000 0.000000
99.324900 -2.677411 5.892500 10886.508 7015.710 98.000000 322.406483 7.000000 0.000000
99.265172 -2.599402 5.892500 10886.508 7015.710 98.000000 322.406483 7.000000 0.000000
99.205452 -2.521389 5.892500 10886.508 7015.710 98.000000 322.406483 7.000000 0.000000
99.145738 -2.443374 5.892500 10886.508 7015.710 98.000000 322.406483 7.000000 0.000000
99.086031 -2.365356 5.892500 10886.508 7015.710 98.000000 322.406483 7.000000 0.000000
99.026331 -2.287336 5.892500 10886.508 7015.710 98.000000 322.406483 7.000000 0.000000
98.966637 -2.209314 5.892500 10886.508 7015.710 98.000000 322.406483 7.000000 0.000000
98.906948 -2.131291 5.892500 10886.508 7015.710 98.000000 322.406483 7.000000 0.000000
98.847265 -2.053265 5.892500 10886.508 7015.710 98.000000 322.406483 7.000000 0.000000
100.331458 -3.886456 6.747500 10886.508 7015.710 98.000000 322.406483 7.000000 0.000000
100.271565 -3.808534 6.747500 10886.508 7015.710 98.000000 322.406483 7.000000 0.000000
100.211685 -3.730606 6.747500 10886.508 7015.710 98.000000 322.406483 7.000000 0.000000
100.151818 -3.652671 6.747500 10886.508 7015.710 98.000000 322.406483 7.000000 20.584274
100.091962 -3.574728 6.747500 10886.508 7015.710 98.000000 322.406483 7.000000 106.573510
