#1:Lon   2:Lat   3:Center(km)    4:Slip(cm)    5:Stri-Slip(cm)    6:Dip-slip(cm)    7:StriSlipErr(cm)   8:DipSlipErr(cm)
96.488681 3.117322 45.411443 8.542608 -1.948007 8.317537 0.000000 0.000000
95.638243 2.643082 15.728063 24.473778 -8.134408 -23.082401 0.000000 0.000000
95.853087 2.943940 25.295976 10.840460 2.938082 10.434713 0.000000 0.000000
95.940731 2.655491 19.187823 140.329299 16.931800 139.304079 0.000000 0.000000
95.670512 2.789855 18.964527 58.436892 -19.030965 -55.251179 0.000000 0.000000
96.092966 2.660546 21.569073 276.188747 17.867632 275.610181 0.000000 0.000000
96.003387 2.951211 28.182373 60.236819 4.805990 60.044790 0.000000 0.000000
96.208484 2.511632 19.953426 515.493340 19.293135 515.132176 0.000000 0.000000
96.536965 2.665515 31.226979 567.522214 0.569178 567.521929 0.000000 0.000000
96.305970 2.963441 35.209788 144.732926 0.492923 144.732086 0.000000 0.000000
96.391084 2.665557 27.673228 576.628239 2.519819 576.622733 0.000000 0.000000
96.719644 2.819326 41.163190 253.624098 -1.385856 253.620312 0.000000 0.000000
96.822552 2.659671 38.676552 342.732463 -1.235444 342.730236 0.000000 0.000000
97.110785 1.083770 16.957990 913.105363 -141.330108 902.101549 0.000000 0.000000
97.241517 0.847647 16.377111 416.083503 -73.815252 409.483565 0.000000 0.000000
97.423929 1.001429 22.386904 500.354546 -73.603466 494.911306 0.000000 0.000000
97.851875 -0.118281 14.694445 59.575028 -50.040325 32.328777 0.000000 0.000000
97.606377 1.155148 29.791826 525.676140 -64.589321 521.693036 0.000000 0.000000
97.725642 0.911036 28.276662 144.630850 -22.663679 142.844112 0.000000 0.000000
97.825013 1.570026 47.321486 272.015938 -30.938011 270.250828 0.000000 0.000000
97.642471 1.416438 36.715452 762.984295 -108.063981 755.292798 0.000000 0.000000
98.547723 1.146283 64.222244 119.510898 -5.192002 -119.398064 0.000000 0.000000
97.951007 1.329595 44.857351 98.692512 -11.194577 98.055562 0.000000 0.000000
97.682192 1.799120 48.303929 219.764289 -48.236724 214.405133 0.000000 0.000000
97.658228 1.544912 40.547411 624.893095 -62.905710 621.718788 0.000000 0.000000
97.873057 2.078336 64.975177 44.022170 0.336656 -44.020883 0.000000 0.000000
97.690399 1.924857 51.955698 100.424306 -23.885809 97.542347 0.000000 0.000000
97.155103 1.714311 27.265273 837.595589 -241.526942 802.016899 0.000000 0.000000
96.976808 1.685172 21.863249 616.416652 -212.381453 578.674008 0.000000 0.000000
97.090421 2.147552 32.559879 303.330693 -63.738628 296.558421 0.000000 0.000000
97.035713 1.978682 27.761765 330.357175 -80.714801 320.345102 0.000000 0.000000
97.524556 2.146194 49.315567 52.306354 -19.060689 48.709802 0.000000 0.000000
97.337659 1.868004 36.001031 393.973537 -109.667153 378.402251 0.000000 0.000000
97.341922 1.992599 38.442744 243.012582 -83.852476 228.087433 0.000000 0.000000
97.400961 2.286002 46.805719 61.208909 -15.519683 59.208698 0.000000 0.000000
97.370905 3.120521 70.761544 0.001388 -0.000482 -0.001301 0.000000 0.000000
97.603782 2.946898 74.213033 0.001610 -0.000332 -0.001576 0.000000 0.000000
97.268070 3.280256 72.979502 0.000671 -0.000481 -0.000467 0.000000 0.000000
97.122098 3.280529 68.314169 0.001010 -0.000424 -0.000917 0.000000 0.000000
97.188054 2.966998 59.538935 78.477240 -6.473714 -78.209770 0.000000 0.000000
98.068428 2.481894 87.651976 0.000756 0.000019 -0.000756 0.000000 0.000000
97.740027 2.938621 80.724885 0.000831 -0.000197 -0.000807 0.000000 0.000000
97.420941 2.793454 61.400136 108.666690 -2.735945 -108.632243 0.000000 0.000000
97.821337 2.761650 79.624637 0.001249 -0.000052 -0.001248 0.000000 0.000000
97.949278 2.746284 87.098949 0.000513 0.000015 -0.000513 0.000000 0.000000
97.455756 2.454792 53.027190 43.515371 -4.948959 -43.233035 0.000000 0.000000
97.583670 2.439532 58.491739 96.397180 -2.994734 -96.350651 0.000000 0.000000
97.702927 2.175145 58.756833 31.970805 -4.356240 -31.672631 0.000000 0.000000
97.707247 2.299697 61.711533 83.234297 -2.772973 -83.188093 0.000000 0.000000
97.864820 1.952625 60.940604 7.867866 -1.778773 -7.664156 0.000000 0.000000
98.047505 2.106031 74.862550 65.893742 1.239298 -65.882087 0.000000 0.000000
97.971398 1.462354 49.558560 79.641727 -5.519931 79.450205 0.000000 0.000000
98.007605 1.723524 59.688183 9.496176 0.800677 -9.462361 0.000000 0.000000
98.190249 1.876923 73.374971 70.480843 2.898506 -70.421218 0.000000 0.000000
98.206097 2.005303 79.213055 56.510394 2.336199 -56.462083 0.000000 0.000000
97.889999 2.453101 75.687868 69.158227 -0.924452 -69.152048 0.000000 0.000000
98.230248 2.259330 90.094880 0.000567 0.000056 -0.000564 0.000000 0.000000
98.498812 1.789803 84.271721 0.000590 0.000012 -0.000590 0.000000 0.000000
98.055773 2.231714 79.348845 61.639577 0.604794 -61.636610 0.000000 0.000000
98.372950 2.030214 88.237439 0.000587 0.000028 -0.000586 0.000000 0.000000
98.238551 2.384980 95.126315 0.000229 0.000020 -0.000228 0.000000 0.000000
98.388832 2.158556 94.632969 0.000238 0.000006 -0.000238 0.000000 0.000000
98.519302 1.922446 90.842290 0.000165 -0.000004 -0.000164 0.000000 0.000000
98.336613 1.769190 75.828786 66.585384 1.992477 -66.555566 0.000000 0.000000
98.615708 1.546411 80.905179 0.000535 -0.000200 -0.000496 0.000000 0.000000
98.638353 1.678400 86.961373 0.000165 -0.000156 -0.000053 0.000000 0.000000
98.788728 0.783778 64.869359 27.438178 -8.760955 -26.001910 0.000000 0.000000
98.153980 1.615823 61.983239 76.639661 2.447571 -76.600568 0.000000 0.000000
98.570393 1.280353 69.481324 89.597377 -3.350164 -89.534721 0.000000 0.000000
98.864676 1.185064 81.903042 0.000739 -0.000738 0.000044 0.000000 0.000000
98.068038 1.086154 42.699167 78.231228 -3.461136 -78.154626 0.000000 0.000000
98.316159 1.636505 69.738764 92.087066 1.583612 -92.073449 0.000000 0.000000
98.273126 1.371748 58.713693 132.330389 -0.874126 -132.327502 0.000000 0.000000
98.455713 1.525129 72.125504 82.190547 -0.550728 -82.188702 0.000000 0.000000
98.433102 1.393096 66.564418 117.752341 -1.943108 -117.736308 0.000000 0.000000
98.090588 1.218266 46.915849 69.433222 -3.051164 -69.366150 0.000000 0.000000
